No,year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir,pm2.5_1ago,pm2.5_2ago,pm2.5_3ago
1,2010,1,1,0,NA,-21,-11,1021,NW,1.79,0,0,NA,NA,NA
2,2010,1,1,1,NA,-21,-12,1020,NW,4.92,0,0,NA,NA,NA
3,2010,1,1,2,NA,-21,-11,1019,NW,6.71,0,0,NA,NA,NA
4,2010,1,1,3,NA,-21,-14,1019,NW,9.84,0,0,NA,NA,NA
5,2010,1,1,4,NA,-20,-12,1018,NW,12.97,0,0,NA,NA,NA
6,2010,1,1,5,NA,-19,-10,1017,NW,16.1,0,0,NA,NA,NA
7,2010,1,1,6,NA,-19,-9,1017,NW,19.23,0,0,NA,NA,NA
8,2010,1,1,7,NA,-19,-9,1017,NW,21.02,0,0,NA,NA,NA
9,2010,1,1,8,NA,-19,-9,1017,NW,24.15,0,0,NA,NA,NA
10,2010,1,1,9,NA,-20,-8,1017,NW,27.28,0,0,NA,NA,NA
11,2010,1,1,10,NA,-19,-7,1017,NW,31.3,0,0,NA,NA,NA
12,2010,1,1,11,NA,-18,-5,1017,NW,34.43,0,0,NA,NA,NA
13,2010,1,1,12,NA,-19,-5,1015,NW,37.56,0,0,NA,NA,NA
14,2010,1,1,13,NA,-18,-3,1015,NW,40.69,0,0,NA,NA,NA
15,2010,1,1,14,NA,-18,-2,1014,NW,43.82,0,0,NA,NA,NA
16,2010,1,1,15,NA,-18,-1,1014,cv,0.89,0,0,NA,NA,NA
17,2010,1,1,16,NA,-19,-2,1015,NW,1.79,0,0,NA,NA,NA
18,2010,1,1,17,NA,-18,-3,1015,NW,2.68,0,0,NA,NA,NA
19,2010,1,1,18,NA,-18,-5,1016,NE,1.79,0,0,NA,NA,NA
20,2010,1,1,19,NA,-17,-4,1017,NW,1.79,0,0,NA,NA,NA
21,2010,1,1,20,NA,-17,-5,1017,cv,0.89,0,0,NA,NA,NA
22,2010,1,1,21,NA,-17,-5,1018,NW,1.79,0,0,NA,NA,NA
23,2010,1,1,22,NA,-17,-5,1018,NW,2.68,0,0,NA,NA,NA
24,2010,1,1,23,NA,-17,-5,1020,cv,0.89,0,0,NA,NA,NA
25,2010,1,2,0,129,-16,-4,1020,SE,1.79,0,0,NA,NA,NA
26,2010,1,2,1,148,-15,-4,1020,SE,2.68,0,0,129,NA,NA
27,2010,1,2,2,159,-11,-5,1021,SE,3.57,0,0,148,129,NA
28,2010,1,2,3,181,-7,-5,1022,SE,5.36,1,0,159,148,129
29,2010,1,2,4,138,-7,-5,1022,SE,6.25,2,0,181,159,148
30,2010,1,2,5,109,-7,-6,1022,SE,7.14,3,0,138,181,159
31,2010,1,2,6,105,-7,-6,1023,SE,8.93,4,0,109,138,181
32,2010,1,2,7,124,-7,-5,1024,SE,10.72,0,0,105,109,138
33,2010,1,2,8,120,-8,-6,1024,SE,12.51,0,0,124,105,109
34,2010,1,2,9,132,-7,-5,1025,SE,14.3,0,0,120,124,105
35,2010,1,2,10,140,-7,-5,1026,SE,17.43,1,0,132,120,124
36,2010,1,2,11,152,-8,-5,1026,SE,20.56,0,0,140,132,120
37,2010,1,2,12,148,-8,-5,1026,SE,23.69,0,0,152,140,132
38,2010,1,2,13,164,-8,-5,1025,SE,27.71,0,0,148,152,140
